infinitive;infinitif;group;voice;tense;person;latin;french;primitive tenses
amare;aimer;1;actif;présent;1;amo;j'aime;amo, as, are, avi, atum
amare;aimer;1;actif;présent;2;amas;tu aimes;amo, as, are, avi, atum
amare;aimer;1;actif;présent;3;amat;il aime;amo, as, are, avi, atum
amare;aimer;1;actif;présent;4;amamus;nous aimons;amo, as, are, avi, atum
amare;aimer;1;actif;présent;5;amatis;vous aimez;amo, as, are, avi, atum
amare;aimer;1;actif;présent;6;amant;ils aiment;amo, as, are, avi, atum
amare;aimer;1;actif;futur;1;amabo;j'aimerai;amo, as, are, avi, atum
amare;aimer;1;actif;futur;2;amabis;tu aimeras;amo, as, are, avi, atum
amare;aimer;1;actif;futur;3;amabit;il aimera;amo, as, are, avi, atum
amare;aimer;1;actif;futur;4;amabimus;nous aimerons;amo, as, are, avi, atum
amare;aimer;1;actif;futur;5;amabitis;vous aimerez;amo, as, are, avi, atum
amare;aimer;1;actif;futur;6;amabunt;ils aimeront;amo, as, are, avi, atum
amare;aimer;1;actif;imparfait;1;amabam;j'aimais;amo, as, are, avi, atum
amare;aimer;1;actif;imparfait;2;amabas;tu aimais;amo, as, are, avi, atum
amare;aimer;1;actif;imparfait;3;amabat;il aimait;amo, as, are, avi, atum
amare;aimer;1;actif;imparfait;4;amabamus;nous aimions;amo, as, are, avi, atum
amare;aimer;1;actif;imparfait;5;amabatis;vous aimiez;amo, as, are, avi, atum
amare;aimer;1;actif;imparfait;6;amabant;ils aimaient;amo, as, are, avi, atum
amare;aimer;1;actif;parfait;1;amavi;j'ai aimé;amo, as, are, avi, atum
amare;aimer;1;actif;parfait;2;amavisti;tu as aimé;amo, as, are, avi, atum
amare;aimer;1;actif;parfait;3;amavit;il a aimé;amo, as, are, avi, atum
amare;aimer;1;actif;parfait;4;amavimus;nous avons aimé;amo, as, are, avi, atum
amare;aimer;1;actif;parfait;5;amavistis;vous avez aimé;amo, as, are, avi, atum
amare;aimer;1;actif;parfait;6;amaverunt;ils ont aimé;amo, as, are, avi, atum
amare;aimer;1;actif;futur antérieur;1;amavero;j'aurai aimé;amo, as, are, avi, atum
amare;aimer;1;actif;futur antérieur;2;amaveris;tu auras aimé;amo, as, are, avi, atum
amare;aimer;1;actif;futur antérieur;3;amaverit;il aura aimé;amo, as, are, avi, atum
amare;aimer;1;actif;futur antérieur;4;amaverimus;nous aurons aimé;amo, as, are, avi, atum
amare;aimer;1;actif;futur antérieur;5;amaveritis;vous aurez aimé;amo, as, are, avi, atum
amare;aimer;1;actif;futur antérieur;6;amaverint;ils auront aimé;amo, as, are, avi, atum
amare;aimer;1;actif;plus-que-parfait;1;amaveram;j'avais aimé;amo, as, are, avi, atum
amare;aimer;1;actif;plus-que-parfait;2;amaveras;tu avais aimé;amo, as, are, avi, atum
amare;aimer;1;actif;plus-que-parfait;3;amaverat;il avait aimé;amo, as, are, avi, atum
amare;aimer;1;actif;plus-que-parfait;4;amaveramus;nous avions aimé;amo, as, are, avi, atum
amare;aimer;1;actif;plus-que-parfait;5;amaveratis;vous aviez aimé;amo, as, are, avi, atum
amare;aimer;1;actif;plus-que-parfait;6;amaverant;ils avaient aimé;amo, as, are, avi, atum
dare;donner;1;actif;présent;1;do;je donne;do, das, dare, dedi, datum
dare;donner;1;actif;présent;2;das;tu donnes;do, das, dare, dedi, datum
dare;donner;1;actif;présent;3;dat;il donne;do, das, dare, dedi, datum
dare;donner;1;actif;présent;4;damus;nous donnons;do, das, dare, dedi, datum
dare;donner;1;actif;présent;5;datis;vous donnez;do, das, dare, dedi, datum
dare;donner;1;actif;présent;6;dant;ils donnent;do, das, dare, dedi, datum
dare;donner;1;actif;futur;1;dabo;je donnerai;do, das, dare, dedi, datum
dare;donner;1;actif;futur;2;dabis;tu donneras;do, das, dare, dedi, datum
dare;donner;1;actif;futur;3;dabit;il donnera;do, das, dare, dedi, datum
dare;donner;1;actif;futur;4;dabimus;nous donnerons;do, das, dare, dedi, datum
dare;donner;1;actif;futur;5;dabitis;vous donnerez;do, das, dare, dedi, datum
dare;donner;1;actif;futur;6;dabunt;ils donneront;do, das, dare, dedi, datum
dare;donner;1;actif;imparfait;1;dabam;je donnais;do, das, dare, dedi, datum
dare;donner;1;actif;imparfait;2;dabas;tu donnais;do, das, dare, dedi, datum
dare;donner;1;actif;imparfait;3;dabat;il donnait;do, das, dare, dedi, datum
dare;donner;1;actif;imparfait;4;dabamus;nous donnions;do, das, dare, dedi, datum
